"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2026_partial_value","x2026_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","tax_load","loaded_cap","final_mv_bed","year_blt","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","total_land_val","impr_name","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key"
"746","16-32-217-062-0000","16-32-217-062-0000","5732 W 35TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5074",NA,"737000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5580",NA,NA,NA,NA,NA,"76508.25","0.07","0.033831143032051","0.103831143032051",NA,"1962","C",NA,NA,"0.05","117705","0.35",NA,NA,NA,NA,"1","0","8","0","0","0","0","123900","81888.8888888889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","16-20-205-039-0000","16-20-205-039-0000","1246 S 57TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","4158",NA,"707000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5980",NA,NA,NA,NA,NA,"73359","0.07","0.0338308208","0.1038308208",NA,"1963","C",NA,NA,"0.05","112860","0.35",NA,NA,NA,NA,"0","11","0","0","0","0","0","118800","64272.7272727273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","16-28-223-005-0000","16-28-223-005-0000 16-28-223-006-0000","5131 W 25TH CICERO","15006","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6300",NA,"707000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"73359","0.07","0.0338302862296242","0.103830286229624",NA,"1965","C",NA,NA,"0.05","112860","0.35",NA,NA,NA,NA,"0","11","0","0","0","0","0","118800","64272.7272727273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","16-32-219-033-0000","16-32-219-033-0000 16-32-219-034-0000","5630 W 35TH CICERO","15001","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5900",NA,"707000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"73359","0.07","0.0338304927202258","0.103830492720226",NA,"1961","C",NA,NA,"0.05","112860","0.35",NA,NA,NA,NA,"0","11","0","0","0","0","0","118800","64272.7272727273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","16-32-218-034-0000","16-32-218-034-0000 16-32-218-035-0000","5704 W 35TH CICERO","15001","3-15 3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6951",NA,"707000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"73359","0.07","0.0338313428886248","0.103831342888625",NA,"1962","C",NA,NA,"0.05","112860","0.35",NA,NA,NA,NA,"0","11","0","0","0","0","0","118800","64272.7272727273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","16-21-405-020-0000","16-21-405-020-0000","4914 W 18TH CICERO","15001","3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5104",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6444",NA,NA,NA,NA,NA,"71136","0.07","0.0338312183866777","0.103831218386678",NA,"1923","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","0","8","0","0","0","0","115200","85625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","16-29-215-033-0000","16-29-215-033-0000 16-29-215-034-0000","2332 S CENTRAL CICERO","15001","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6500",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"71136","0.07","0.0338312183866777","0.103831218386678",NA,"1963","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","0","8","0","0","0","0","115200","85625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","16-28-119-017-0000","16-28-119-017-0000","2413 S 53RD CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6300",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6632",NA,NA,NA,NA,NA,"71136","0.07","0.0338311957273636","0.103831195727364",NA,"1924","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","4","5","0","0","0","0","115200","76111.1111111111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","16-21-408-041-0000","16-21-408-041-0000","1832 S 51ST CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7560",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"7140",NA,NA,NA,NA,NA,"71136","0.07","0.0338308208","0.1038308208",NA,"1929","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","0","8","0","0","0","0","115200","85625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","16-28-214-040-0000","16-28-214-040-0000","4825 W 23RD CICERO","15004","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5670",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5246",NA,NA,NA,NA,NA,"71136","0.07","0.0338302647339396","0.10383026473394",NA,"1965","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","8","2","0","0","0","0","115200","68500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","16-28-122-015-0000","16-28-122-015-0000","5301 W 24TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7875",NA,"685000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"8532",NA,NA,NA,NA,NA,"71136","0.07","0.0338312469399035","0.103831246939904",NA,"1913","C",NA,NA,"0.05","109440","0.35",NA,NA,NA,NA,"0","0","8","0","0","0","0","115200","85625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","16-20-320-003-0000","16-20-320-003-0000","1853 S 61ST CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","8316",NA,"682000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"7454",NA,NA,NA,NA,NA,"70765.5","0.07","0.033830544654831","0.103830544654831",NA,"1955","C",NA,NA,"0.05","108870","0.35",NA,NA,NA,NA,"2","9","0","0","0","0","0","114600","62000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","16-21-208-024-0000","16-21-208-024-0000 16-21-208-025-0000","1300 S 51ST CICERO","15001","3-15 3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6065",NA,"664000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"68913","0.07","0.0338314257488034","0.103831425748803",NA,"1971","C",NA,NA,"0.05","106020","0.35",NA,NA,NA,NA,"0","5","4","0","0","0","0","111600","73777.7777777778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","16-29-226-036-0000","16-29-226-036-0000","5800 W 26TH CICERO","15001","3-18","42:MULTIFAMILY-MIXED USE, LOW RISE, 3 FL =<","6272",NA,"656000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"8000",NA,NA,NA,NA,NA,"68147.3","0.07","0.0338308804548826","0.103830880454883",NA,"1929","C",NA,NA,"0.05","104842","0.35",NA,NA,NA,NA,"0","4","3","0","0","0","1198","110360","93714.2857142857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","16-20-432-019-0000","16-20-432-019-0000","5622 W CERMAK CICERO","15003","3-18","42:MULTIFAMILY-MIXED USE, LOW RISE, 3 FL =<","4125",NA,"654000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"7362",NA,NA,NA,NA,NA,"67900.3","0.07","0.0338306969664856","0.103830696966486",NA,"1918","C",NA,NA,"0.05","104462","0.35",NA,NA,NA,NA,"0","0","6","0","0","0","1178","109960","109000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","16-29-130-041-0000","16-29-130-041-0000","6038 W 26TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5000",NA,"646000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4122",NA,NA,NA,NA,NA,"67060.5","0.07","0.0338311080544709","0.103831108054471",NA,"1960","C",NA,NA,"0.05","103170","0.35",NA,NA,NA,NA,"10","2","0","0","0","0","0","108600","53833.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","16-21-425-017-0000","16-21-425-017-0000","2118 S 51ST CICERO","15001","3-14","50:MULTIFAMILY-SAP, 35% TIER","7113",NA,"644000","418600","AHSAP","Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"9258",NA,NA,NA,NA,NA,"73359","0.08","0.0338308208","0.1138308208",NA,"1922","C",NA,NA,"0.05","133380","0.45",NA,NA,NA,NA,"0","13","0","0","0","0","0","140400","49538.4615384615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","16-21-426-009-0000","16-21-426-009-0000","2119 S 51ST CICERO","15001","3-14","49:MULTIFAMILY-SAP, 15% TIER","7116",NA,"644000","483000","AHSAP","Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"9346",NA,NA,NA,NA,NA,"73359","0.08","0.0338308208","0.1138308208",NA,"1925","C",NA,NA,"0.05","133380","0.45",NA,NA,NA,NA,"0","13","0","0","0","0","0","140400","49538.4615384615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","16-21-303-001-0000","16-21-303-001-0000","1801 S 55TH CICERO","15001","3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6078",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5196",NA,NA,NA,NA,NA,"66690","0.07","0.033830938405334","0.103830938405334",NA,"1955","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","16-21-410-020-0000","16-21-410-020-0000","5029 W 18TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3745",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5236",NA,NA,NA,NA,NA,"66690","0.07","0.033830938405334","0.103830938405334",NA,"1925","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","16-29-128-032-0000","16-29-128-032-0000","6146 W 26TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3281",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4788",NA,NA,NA,NA,NA,"66690","0.07","0.033830938405334","0.103830938405334",NA,"1962","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","16-33-201-014-0000","16-33-201-014-0000 16-33-201-015-0000","3131 W 31ST CICERO","15002","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5628",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"66690","0.07","0.0338307492973807","0.103830749297381",NA,"1962","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","16-28-125-001-0000","16-28-125-001-0000","5439 W 25TH CICERO","15006","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3750",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5102",NA,NA,NA,NA,NA,"66690","0.07","0.0338309427089139","0.103830942708914",NA,"1963","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","16-33-122-063-0000","16-33-122-063-0000","5308 W 35TH CICERO","15002","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7000",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5352",NA,NA,NA,NA,NA,"66690","0.07","0.0338308208","0.1038308208",NA,"1963","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","16-33-122-064-0000","16-33-122-064-0000","5304 W 35TH CICERO","15002","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7000",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5352",NA,NA,NA,NA,NA,"66690","0.07","0.0338308208","0.1038308208",NA,"1962","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","16-29-223-035-0000","16-29-223-035-0000 16-29-223-036-0000","5930 W 26TH CICERO","15001","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7546",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"66690","0.07","0.0338308849745262","0.103830884974526",NA,"1959","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","16-21-217-023-0000","16-21-217-023-0000","1445 S 51ST CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5382",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5856",NA,NA,NA,NA,NA,"66690","0.07","0.0338314116974547","0.103831411697455",NA,"1967","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","16-33-122-061-0000","16-33-122-061-0000","5316 W 35TH CICERO","15002","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6325",NA,"642000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5352",NA,NA,NA,NA,NA,"66690","0.07","0.0338304683625757","0.103830468362576",NA,"1963","C",NA,NA,"0.05","102600","0.35",NA,NA,NA,NA,"0","10","0","0","0","0","0","108000","64200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","16-32-330-044-0000","16-32-330-044-0000","6048 W PERSHING CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","4750",NA,"630000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5526",NA,NA,NA,NA,NA,"65393.25","0.07","0.0338305215049073","0.103830521504907",NA,"1964","C",NA,NA,"0.05","100605","0.35",NA,NA,NA,NA,"1","9","0","0","0","0","0","105900","63000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","16-32-330-045-0000","16-32-330-045-0000","6046 W PERSHING CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5983",NA,"630000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5526",NA,NA,NA,NA,NA,"65393.25","0.07","0.0338311200950927","0.103831120095093",NA,"1964","C",NA,NA,"0.05","100605","0.35",NA,NA,NA,NA,"1","9","0","0","0","0","0","105900","63000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","16-29-224-027-0000","16-29-224-027-0000","5918 W 26TH CICERO","15001","3-18","42:MULTIFAMILY-MIXED USE, LOW RISE, 3 FL =<","3772",NA,"629000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"7148",NA,NA,NA,NA,NA,"65331.5","0.07","0.0338310255056807","0.103831025505681",NA,"1914","C",NA,NA,"0.05","100510","0.35",NA,NA,NA,NA,"2","1","4","0","0","0","1000","105800","89857.1428571429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","16-21-214-025-0000","16-21-214-025-0000","1300 S 48TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6281",NA,"617000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6862",NA,NA,NA,NA,NA,"64096.5","0.07","0.0338307541646757","0.103830754164676",NA,"1920","C",NA,NA,"0.05","98610","0.35",NA,NA,NA,NA,"2","8","0","0","0","0","0","103800","61700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","16-28-122-036-0000","16-28-122-036-0000","5344 W 25TH CICERO","15006","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","6300",NA,"599000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6150",NA,NA,NA,NA,NA,"62244","0.07","0.0338312099149466","0.103831209914947",NA,"1959","C",NA,NA,"0.05","95760","0.35",NA,NA,NA,NA,"0","8","1","0","0","0","0","100800","66555.5555555556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","16-32-403-038-0000","16-32-403-038-0000","5801 W 35TH CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5948",NA,"599000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6080",NA,NA,NA,NA,NA,"62244","0.07","0.0338306327214303","0.10383063272143",NA,"1958","C",NA,NA,"0.05","95760","0.35",NA,NA,NA,NA,"0","8","1","0","0","0","0","100800","66555.5555555556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","16-21-410-038-0000","16-21-410-038-0000","1838 S 50TH CICERO","15001","3-14","48:MULTIFAMILY-AFFORDABLE HOUSING","7525",NA,"596000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"9340",NA,NA,NA,NA,NA,"67872.75","0.08","0.0338313895222266","0.113831389522227",NA,"1923","C",NA,NA,"0.05","123405","0.45",NA,NA,NA,NA,"5","8","0","0","0","0","0","129900","45846.1538461538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","16-28-128-040-0000","16-28-128-040-0000","5504 W 26TH CICERO","15001","3-14","48:MULTIFAMILY-AFFORDABLE HOUSING","5750",NA,"595000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4788",NA,NA,NA,NA,NA,"67716","0.08","0.0338309165162725","0.113830916516273",NA,"1964","C",NA,NA,"0.05","123120","0.45",NA,NA,NA,NA,"0","12","0","0","0","0","0","129600","49583.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","16-28-129-027-0000","16-28-129-027-0000 16-28-129-028-0000","5426 W 26TH CICERO","15001","3-15 3-15","48:MULTIFAMILY-AFFORDABLE HOUSING","7500",NA,"595000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"67716","0.08","0.0338299593535475","0.113829959353547",NA,"1963","C",NA,NA,"0.05","123120","0.45",NA,NA,NA,NA,"0","12","0","0","0","0","0","129600","49583.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","16-29-401-015-0000","16-29-401-015-0000","2600 S 59TH CICERO","15001","3-14","50:MULTIFAMILY-SAP, 35% TIER","6233",NA,"595000","386750","AHSAP","Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6720",NA,NA,NA,NA,NA,"67716","0.08","0.0338305262885846","0.113830526288585",NA,"1966","C",NA,NA,"0.05","123120","0.45",NA,NA,NA,NA,"0","12","0","0","0","0","0","129600","49583.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784","16-29-205-029-0000","16-29-205-029-0000","5602 W 22ND CICERO","15001","3-18","42:MULTIFAMILY-MIXED USE, LOW RISE, 3 FL =<","3125",NA,"583000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"7906",NA,NA,NA,NA,NA,"60515","0.07","0.0338305713396059","0.103830571339606",NA,"1927","C",NA,NA,"0.05","93100","0.35",NA,NA,NA,NA,"0","7","1","0","0","0","400","98000","72875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","16-28-104-008-0000","16-28-104-008-0000","2243 S CENTRAL CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3625",NA,"578000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4896",NA,NA,NA,NA,NA,"60021","0.07","0.0338311474816095","0.10383114748161",NA,"1965","C",NA,NA,"0.05","92340","0.35",NA,NA,NA,NA,"0","9","0","0","0","0","0","97200","64222.2222222222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","16-28-120-001-0000","16-28-120-001-0000","2435 S CENTRAL CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3796",NA,"578000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5044",NA,NA,NA,NA,NA,"60021","0.07","0.0338311474816095","0.10383114748161",NA,"1957","C",NA,NA,"0.05","92340","0.35",NA,NA,NA,NA,"0","9","0","0","0","0","0","97200","64222.2222222222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","16-28-124-016-0000","16-28-124-016-0000","5519 W 25TH CICERO","15006","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3750",NA,"578000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4896",NA,NA,NA,NA,NA,"60021","0.07","0.0338304941183905","0.10383049411839",NA,"1965","C",NA,NA,"0.05","92340","0.35",NA,NA,NA,NA,"0","9","0","0","0","0","0","97200","64222.2222222222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","16-28-109-001-0000","16-28-109-001-0000","5439 W 23RD CICERO","15001","3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3750",NA,"578000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6591",NA,NA,NA,NA,NA,"60021","0.07","0.0338308208","0.1038308208",NA,"1967","C",NA,NA,"0.05","92340","0.35",NA,NA,NA,NA,"0","9","0","0","0","0","0","97200","64222.2222222222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","16-28-128-041-0000","16-28-128-041-0000","5500 W 26TH CICERO","15001","9-14","50:MULTIFAMILY-SAP, 35% TIER","3510",NA,"576000","374400","AHSAP","Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"4788",NA,NA,NA,NA,NA,"65521.5","0.08","0.033831296649266","0.113831296649266",NA,"1981","C",NA,NA,"0.05","119130","0.45",NA,NA,NA,NA,"2","10","0","0","0","0","0","125400","48000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","16-21-204-010-0000","16-21-204-010-0000","4927 W ROOSEVELT CICERO","15001","3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3858",NA,"569000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5016",NA,NA,NA,NA,NA,"59094.75","0.07","0.0338309475931474","0.103830947593147",NA,"1966","C",NA,NA,"0.05","90915","0.35",NA,NA,NA,NA,"11","0","0","0","0","0","0","95700","51727.2727272727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","16-29-314-037-0000","16-29-314-037-0000","2732 S 60TH CICERO","15001","3-15","48:MULTIFAMILY-AFFORDABLE HOUSING","6300",NA,"545000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5472",NA,NA,NA,NA,NA,"62073","0.08","0.0338313428886248","0.113831342888625",NA,"1964","C",NA,NA,"0.05","112860","0.45",NA,NA,NA,NA,"0","11","0","0","0","0","0","118800","49545.4545454545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","16-29-228-040-0000","16-29-228-040-0000","5700 W 26TH CICERO","15001","3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","3777",NA,"544000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"2496",NA,NA,NA,NA,NA,"56501.25","0.07","0.0338306809893543","0.103830680989354",NA,"1959","C",NA,NA,"0.05","86925","0.35",NA,NA,NA,NA,"1","5","2","0","0","0","0","91500","68000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","16-32-137-021-0000","16-32-137-021-0000 16-32-137-022-0000","6018 W 35TH CICERO","15001","3-14 3-14","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","5971",NA,"544000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"56501.25","0.07","0.0338299819361259","0.103829981936126",NA,"1965","C",NA,NA,"0.05","86925","0.35",NA,NA,NA,NA,"1","5","2","0","0","0","0","91500","68000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","16-21-209-045-0000","16-21-209-045-0000","5108 W 14TH CICERO","15001","3-18","49:MULTIFAMILY-SAP, 15% TIER","6887",NA,"526000","394500","AHSAP","Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"6281",NA,NA,NA,NA,NA,"59847.15","0.08","0.0338317524192323","0.113831752419232",NA,"1928","C",NA,NA,"0.05","108813","0.45",NA,NA,NA,NA,"0","7","0","0","0","0","1947","114540","75142.8571428571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","16-21-424-020-0000","16-21-424-020-0000 16-21-424-021-0000","2118 S 51ST CICERO","15001","3-96 3-96","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","7111",NA,"517000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"0",NA,NA,NA,NA,NA,"53722.5","0.07","0.0338316062365011","0.103831606236501",NA,"1947","C",NA,NA,"0.05","82650","0.35",NA,NA,NA,NA,"10","0","0","0","0","0","0","87000","51700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","16-20-424-036-0000","16-20-424-036-0000","1936 S CENTRAL CICERO","15001","3-15","34:MULTIFAMILY-LOW RISE (3 FLOORS OR LESS)","4779",NA,"514000",NA,NA,"Multifamily","Cicero 2026 T15.PublicModel.xlsx",NA,"5744",NA,NA,NA,NA,NA,"53352","0.07","0.0338306737932047","0.103830673793205",NA,"1924","C",NA,NA,"0.05","82080","0.35",NA,NA,NA,NA,"0","8","0","0","0","0","0","86400","64250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
